Data as of,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
07/22/2020,Maine,Distribution of COVID-19 deaths (%),95.4,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Unweighted distribution of population (%),93.1,1.5,0.7,1.2,1.7,1.7,
07/22/2020,Maine,Weighted distribution of population (%),91,2.7,0.3,2,2.1,1.9,
07/22/2020,Maryland,Count of COVID-19 deaths,1553,1490,,146,411,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,Distribution of COVID-19 deaths (%),42.9,41.1,,4,11.3,0.5,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,Unweighted distribution of population (%),50.5,29.8,0.2,6.6,10.4,2.5,
07/22/2020,Maryland,Weighted distribution of population (%),41.1,33.2,0.2,9.1,14.1,2.4,
07/22/2020,Massachusetts,Count of COVID-19 deaths,6246,661,,234,519,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Massachusetts,Distribution of COVID-19 deaths (%),80.6,8.5,,3,6.7,1.1,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Massachusetts,Unweighted distribution of population (%),71.4,7.2,0.2,7,12.3,1.9,
07/22/2020,Massachusetts,Weighted distribution of population (%),68.9,7.6,0.2,8.9,12.6,1.9,
07/22/2020,Michigan,Count of COVID-19 deaths,2967,2327,,63,138,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Michigan,Distribution of COVID-19 deaths (%),53,41.6,,1.1,2.5,1.7,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Michigan,Unweighted distribution of population (%),74.9,13.8,0.6,3.3,5.2,2.3,
07/22/2020,Michigan,Weighted distribution of population (%),59.2,28.2,0.3,4.7,5.3,2.3,
07/22/2020,Minnesota,Count of COVID-19 deaths,1198,134,23,62,61,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Minnesota,Distribution of COVID-19 deaths (%),80.7,9,1.5,4.2,4.1,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Minnesota,Unweighted distribution of population (%),79.5,6.6,1.1,5.1,5.5,2.3,
07/22/2020,Minnesota,Weighted distribution of population (%),68.6,12.6,0.7,8.3,6.9,2.9,
07/22/2020,Mississippi,Count of COVID-19 deaths,508,608,69,,17,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Mississippi,Distribution of COVID-19 deaths (%),42.1,50.4,5.7,,1.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Mississippi,Unweighted distribution of population (%),56.5,37.4,0.5,1,3.4,1.2,
07/22/2020,Mississippi,Weighted distribution of population (%),43.2,52,0.2,1,2.6,1.1,
07/22/2020,Missouri,Count of COVID-19 deaths,621,350,,15,23,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Missouri,Distribution of COVID-19 deaths (%),61.1,34.4,,1.5,2.3,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Missouri,Unweighted distribution of population (%),79.3,11.6,0.4,2.1,4.3,2.3,
07/22/2020,Missouri,Weighted distribution of population (%),65.6,24.5,0.2,4.1,3.5,2.1,
07/22/2020,Nebraska,Count of COVID-19 deaths,184,18,,12,70,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Nebraska,Distribution of COVID-19 deaths (%),64.3,6.3,,4.2,24.5,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Nebraska,Unweighted distribution of population (%),78.6,4.8,0.8,2.6,11.2,2,
07/22/2020,Nebraska,Weighted distribution of population (%),70.8,9.8,0.5,4,12.6,2.3,
07/22/2020,Nevada,Count of COVID-19 deaths,262,86,,80,137,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Nevada,Distribution of COVID-19 deaths (%),45.4,14.9,,13.9,23.7,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Nevada,Unweighted distribution of population (%),48.7,9.1,0.9,8.3,29,4.1,
07/22/2020,Nevada,Weighted distribution of population (%),43.3,11.4,0.5,9.7,31.4,3.7,
07/22/2020,New Hampshire,Count of COVID-19 deaths,358,,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New Hampshire,Distribution of COVID-19 deaths (%),93.5,,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New Hampshire,Unweighted distribution of population (%),90,1.4,0.2,2.9,3.9,1.6,
07/22/2020,New Hampshire,Weighted distribution of population (%),85.7,2.2,0.2,4,6.2,1.7,
07/22/2020,New Jersey,Count of COVID-19 deaths,7508,2493,10,848,2901,51,
07/22/2020,New Jersey,Distribution of COVID-19 deaths (%),54.4,18.1,0.1,6.1,21,0.4,
07/22/2020,New Jersey,Unweighted distribution of population (%),54.9,12.9,0.1,9.8,20.6,1.6,
07/22/2020,New Jersey,Weighted distribution of population (%),49.3,14.5,0.1,11.7,22.8,1.5,
07/22/2020,New Mexico,Count of COVID-19 deaths,135,,308,,66,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New Mexico,Distribution of COVID-19 deaths (%),26.2,,59.7,,12.8,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New Mexico,Unweighted distribution of population (%),37.1,1.8,8.8,1.5,49.1,1.6,
07/22/2020,New Mexico,Weighted distribution of population (%),37.8,2.2,9.8,2.2,46.2,1.8,
07/22/2020,New York,Count of COVID-19 deaths,7162,1784,19,453,1750,74,
07/22/2020,New York,Distribution of COVID-19 deaths (%),63.7,15.9,0.2,4,15.6,0.7,
07/22/2020,New York,Unweighted distribution of population (%),73,8.8,0.3,4.3,11.7,1.8,
07/22/2020,New York,Weighted distribution of population (%),62.8,10.6,0.2,6.7,18.3,1.5,
07/22/2020,New York City,Count of COVID-19 deaths,5470,5989,,1978,6117,902,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New York City,Distribution of COVID-19 deaths (%),26.7,29.3,,9.7,29.9,4.4,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,New York City,Unweighted distribution of population (%),32.1,22,0.2,14.7,29.2,1.8,
07/22/2020,New York City,Weighted distribution of population (%),30.9,23.3,0.2,15.4,28.4,1.8,
07/22/2020,North Carolina,Count of COVID-19 deaths,669,417,12,23,95,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,North Carolina,Distribution of COVID-19 deaths (%),54.7,34.1,1,1.9,7.8,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,North Carolina,Unweighted distribution of population (%),62.8,21.4,1.1,3.1,9.6,2,
07/22/2020,North Carolina,Weighted distribution of population (%),54,27,0.7,5,11.1,2.1,
07/22/2020,North Dakota,Count of COVID-19 deaths,84,,13,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,North Dakota,Distribution of COVID-19 deaths (%),80.8,,12.5,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,North Dakota,Unweighted distribution of population (%),84,3.2,5.1,1.7,3.9,2.1,
07/22/2020,North Dakota,Weighted distribution of population (%),84.3,6.1,1.3,3.5,2.8,1.9,
07/22/2020,Ohio,Count of COVID-19 deaths,2096,512,,38,51,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Ohio,Distribution of COVID-19 deaths (%),77.5,18.9,,1.4,1.9,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Ohio,Unweighted distribution of population (%),78.7,12.6,0.2,2.4,3.9,2.2,
07/22/2020,Ohio,Weighted distribution of population (%),65.4,22.8,0.2,3.8,5.4,2.5,
07/22/2020,Oklahoma,Count of COVID-19 deaths,303,38,40,,26,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Oklahoma,Distribution of COVID-19 deaths (%),72,9,9.5,,6.2,2.4,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Oklahoma,Unweighted distribution of population (%),65.3,7.4,8.3,2.3,10.9,5.8,
07/22/2020,Oklahoma,Weighted distribution of population (%),59.6,12.2,4.8,3.5,14.8,5.1,
07/22/2020,Oregon,Count of COVID-19 deaths,193,,,12,36,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Oregon,Distribution of COVID-19 deaths (%),75.1,,,4.7,14,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Oregon,Unweighted distribution of population (%),75.3,2,1.1,4.7,13.3,3.7,
07/22/2020,Oregon,Weighted distribution of population (%),70.2,4,0.8,7.2,14.1,3.7,
07/22/2020,Pennsylvania,Count of COVID-19 deaths,5058,1542,,169,436,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Pennsylvania,Distribution of COVID-19 deaths (%),70,21.3,,2.3,6,0.3,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Pennsylvania,Unweighted distribution of population (%),76.1,10.8,0.1,3.6,7.6,1.7,
07/22/2020,Pennsylvania,Weighted distribution of population (%),57.6,23,0.2,6.3,11.1,1.9,
07/22/2020,Rhode Island,Count of COVID-19 deaths,794,54,,16,70,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Rhode Island,Distribution of COVID-19 deaths (%),84.5,5.7,,1.7,7.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Rhode Island,Unweighted distribution of population (%),72,6,0.4,3.5,15.9,2.2,
07/22/2020,Rhode Island,Weighted distribution of population (%),62.2,8.3,0.4,4.2,22.6,2.2,
07/22/2020,South Carolina,Count of COVID-19 deaths,483,440,,,33,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,South Carolina,Distribution of COVID-19 deaths (%),49.9,45.5,,,3.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,South Carolina,Unweighted distribution of population (%),63.7,26.6,0.4,1.7,5.8,1.8,
07/22/2020,South Carolina,Weighted distribution of population (%),61.8,27.7,0.3,2.2,6.3,1.8,
07/22/2020,South Dakota,Count of COVID-19 deaths,79,,24,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,South Dakota,Distribution of COVID-19 deaths (%),68.1,,20.7,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,South Dakota,Unweighted distribution of population (%),82.7,2.3,6.9,1.7,4.1,2.2,
07/22/2020,South Dakota,Weighted distribution of population (%),81.3,5.7,3.3,2.3,5.1,2.4,
07/22/2020,Tennessee,Count of COVID-19 deaths,363,227,,15,62,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Tennessee,Distribution of COVID-19 deaths (%),54,33.8,,2.2,9.2,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Tennessee,Unweighted distribution of population (%),73.7,16.7,0.3,1.8,5.6,1.8,
07/22/2020,Tennessee,Weighted distribution of population (%),49.6,37.9,0.2,3,7.6,1.7,
07/22/2020,Texas,Count of COVID-19 deaths,1371,627,,115,1571,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Texas,Distribution of COVID-19 deaths (%),37,16.9,,3.1,42.4,0.4,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Texas,Unweighted distribution of population (%),41.5,12,0.3,5,39.6,1.6,
07/22/2020,Texas,Weighted distribution of population (%),31.8,16.7,0.2,6.4,43.4,1.5,
07/22/2020,Utah,Count of COVID-19 deaths,124,,18,10,53,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Utah,Distribution of COVID-19 deaths (%),56.6,,8.2,4.6,24.2,5.5,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Utah,Unweighted distribution of population (%),78,1.1,0.9,2.6,14.2,3.1,
07/22/2020,Utah,Weighted distribution of population (%),73.1,1.6,0.7,4.2,18.1,2.3,
07/22/2020,Virginia,Count of COVID-19 deaths,1188,504,,122,246,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Virginia,Distribution of COVID-19 deaths (%),57.4,24.4,,5.9,11.9,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Virginia,Unweighted distribution of population (%),61.5,19.1,0.3,6.8,9.6,2.7,
07/22/2020,Virginia,Weighted distribution of population (%),51.9,13.8,0.2,16,15,3.2,
07/22/2020,Washington,Count of COVID-19 deaths,861,44,27,111,168,24,
07/22/2020,Washington,Distribution of COVID-19 deaths (%),69.7,3.6,2.2,9,13.6,1.9,
07/22/2020,Washington,Unweighted distribution of population (%),68,3.9,1.3,9.1,12.9,4.8,
07/22/2020,Washington,Weighted distribution of population (%),60.9,6.1,0.8,16.8,11,4.5,
07/22/2020,West Virginia,Count of COVID-19 deaths,96,,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,West Virginia,Distribution of COVID-19 deaths (%),93.2,,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,West Virginia,Unweighted distribution of population (%),92.1,3.5,0.2,0.8,1.7,1.7,
07/22/2020,West Virginia,Weighted distribution of population (%),88.6,5.9,0.2,1.3,1.7,2.3,
07/22/2020,Wisconsin,Count of COVID-19 deaths,505,194,,25,94,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Wisconsin,Distribution of COVID-19 deaths (%),61.2,23.5,,3,11.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Wisconsin,Unweighted distribution of population (%),81.1,6.4,0.9,3,6.9,1.7,
07/22/2020,Wisconsin,Weighted distribution of population (%),57.2,21.8,0.6,4.4,13.8,2.2,
